"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"Akron Zips","09/17/08","8:21am","Alex Allen","RB","Doubtful","Hip","Allen left the week 3 contest with a frightening hip injury after accumulating 36 yards on seven carries. Allen had to be taken off the field on a stretcher while immobilized.",2008,"2008-09-17","MAC","n"
"Akron Zips","09/15/08","12:30pm","Paul Simkovich","OL","Questionable","Concussion/Head","Simkovich is questionable for Saturday's matchup with Army due to an injury to his head.",2008,"2008-09-15","MAC","n"
"Akron Zips","09/24/08","10:40am","James Harvey","DL","Questionable","Hand","Harvey broke his hand in the Ball State game. His timetable is unknown.",2008,"2008-09-24","MAC","n"
"Akron Zips","09/29/08","3:03pm","Andrew Johnson","RB","Doubtful","Neck","Johnson was taken off the field by ambulance in the third quarter. Officials said Johnson had movement in his hands and legs and the ambulance was a precaution. Senior Dennis Kennedy led the ground game after Johnson's exit and will likely start at Kent State.",2008,"2008-09-29","MAC","n"
"Alabama Crimson Tide","09/11/08","9:01am","Marlon Davis","OL","Questionable","Hamstring","The right guard pulled his left hamstring on the first series of the Tulane game in week 2 and did not return. Teammates are hoping Davis can rejoin the starting lineup this weekend.",2008,"2008-09-11","SEC","y"
"Alabama Crimson Tide","09/09/08","6:35pm","Andre Smith","OL","Probable","Knee","The 1st Team SEC and Jacobs Blocking Trophy winner was helped off the field of the season opener with a knee injury. He missed week 2's contest but is expected to play this weekend.",2008,"2008-09-09","SEC","y"
"Alabama Crimson Tide","09/08/08","1:26pm","Leigh Tiffin","K","Questionable","Concussion/Head","Tiffin got absolutely de-cleated on a kickoff early in the game and it's possible that vicious hit really rung his bell. He wasn't even on the sidelines. The kickoff on which he got drilled, by the way, was called back when Tulane went off-sides. Corey Smith poorly replaced Tiffin missing an extra point and a 37-yard field goal try.",2008,"2008-09-08","SEC","y"
"Alabama Crimson Tide","09/08/08","1:22pm","Javier Arenas","DB","Probable","Concussion/Head","The Alabama junior was the victim of a helmet-rattling hit and could not return to the game Saturday. He is expected to play this weekend vs. W.Ky.",2008,"2008-09-08","SEC","y"
"Alabama Crimson Tide","09/07/08","5:46pm","Earl Alexander","WR","Questionable","Ankle","Alexander had an ankle injury flare up during the season opener. He missed some practice time and couldn't play in week 2.",2008,"2008-09-07","SEC","y"
"Alabama Crimson Tide","09/07/08","5:44pm","Will Oakley","WR","Questionable","Foot","Oakley suffered a stress fracture in his foot in summer conditioning work and did not practicing during fall camp. He did not play in the first two games but coaching staff say he is getting closer to 100% and might be able to play in week 3.",2008,"2008-09-07","SEC","y"
"Alabama Crimson Tide","09/15/08","9:18am","Terry Grant","RB","Questionable","Shoulder","We would have played (Grant) a lot more (in week 3) but he dinged his shoulder a little bit,"" Coach Saban said. ""I don't think it's real serious, I think it's a rotator cuff strain, at least that's the early prognosis and hopefully we'll get him back quickly because he is a guy who can make plays for us.",2008,"2008-09-15","SEC","y"
"Alabama Crimson Tide","09/26/08","8:11am","Preston Dial","TE","Out","Knee","Reserve tight end Preston Dial may be facing minor surgery to repair loose cartilage in his knee.",2008,"2008-09-26","SEC","y"
"Alabama Crimson Tide","10/03/08","9:26am","Darius Hanks","WR","Probable","Knee","Hanks did not travel to Georgia in week 5 due to what Coach Saban called a ""little knee problem"". He has been upgraded to probable to play Kentucky",2008,"2008-10-03","SEC","y"
"Alabama Crimson Tide","10/01/08","9:28am","Mark Ingram","RB","Probable","Knee","True freshman running back Mark Ingram sustained a bruised knee early in the Georgia game, and was held out as a precautionary move. He practiced Monday and is expected to play Kentucky.",2008,"2008-10-01","SEC","y"
"Alabama Crimson Tide","09/30/08","3:42pm","Mike McCoy","WR","Doubtful","Hamstring","Alabama lost receiver Mike McCoy to injury following a hit on the sideline in the second quarter at Georgia. ""McCoy was having a great game,"" Coach Saban said. ""He pulled his hamstring..."" McCoy is doubtful for the Kentucky matchup.",2008,"2008-09-30","SEC","y"
"Alabama Crimson Tide","10/14/08","1:15pm","Andre Smith","OL","Probable","Elbow","Smith returned to practice last week although he remained restricted from contact while wearing a black, no-contact jersey. He continued to wear a brace on his left elbow, which was dinged against Kentucky. He has been upgraded to probable for Ole Miss.",2008,"2008-10-14","SEC","y"
"Alabama Crimson Tide","10/22/08","7:35am","Terrence Cody","DL","Out","Knee","Cody sustained a right knee injury in the week 8 game against Mississippi. Coach Saban said the  Tide's run-stopper would have his knee examined but that it didn't appear surgery would be necessary. With mammoth nose guard Cody out for at least two games with a knee injury, musclebound Josh Chapman will start for the Crimson Tide Saturday at Tennessee.",2008,"2008-10-22","SEC","y"
"Alabama Crimson Tide","11/11/08","3:16pm","Earl Alexander","WR","Questionable","Shoulder","Reserve receiver Alexander injured a shoulder in week 11 and is questionable for Mississippi State. He has 7 catches in 9 games played this season.",2008,"2008-11-11","SEC","y"
"Alabama Crimson Tide","11/10/08","9:39am","Roy Upchurch","RB","Questionable","Neck","Upchurch had a bad muscle spasm in his neck in week 11 warmups and didnt play. He is questionable for Mississippi State. Upchurch ranks 3rd on the team in rushing yards this season.",2008,"2008-11-10","SEC","y"
"Alabama Crimson Tide","11/26/08","3:41pm","Will Oakley","WR","Out","Shoulder","Reserve receiver Oakley is expected to miss the Auburn matchup this weekend. He has played in eight games this season and has two catches.",2008,"2008-11-26","SEC","y"
"Arizona Wildcats","09/09/08","6:06pm","Xavier Kelley","LB","Questionable","Ankle","Kelley suffered an ankle injury in the last game ""he will be limited for a couple days,"" Coach Stoops said. ""We hope to get him back, we will see."" Replacing him was reserve Sterling Lewis, and he didn't disappoint. Lewis recorded a team-high 12 tackles in Kelley's absence, showing the Wildcats they have a viable option if Kelley is unable to go against New Mexico this Saturday.",2008,"2008-09-09","P12","y"
"Arizona Wildcats","08/30/08","10:50am","Phil Garcia","OL","Out","Knee","The reserve offensive tackle has been nursing a knee injury and announced he will redshirt the 2008 season.",2008,"2008-08-30","P12","y"
"Arizona State Sun Devils","09/19/08","9:13am","Keegan Herring","RB","Doubtful","Hamstring","Herring reinjured his hamstring against Stanford and did not play against UNLV in week 3. He missed practice on Tuesday and is not likely to play against Georgia.",2008,"2008-09-19","P12","y"
"Arizona State Sun Devils","09/19/08","9:12am","Andrew Pettes","TE","Probable","Groin","Pettes departed the week 2 game with a groin pull and did not play in week 3. He is expected to play against Georgia.",2008,"2008-09-19","P12","y"
"Arizona State Sun Devils","09/18/08","8:54am","Saia Falahola","DL","Probable","Hand","The starting DT left practice Tuesday because of an injury, then returned with a cast covering what Coach Erickson said was a small break on the top of his right hand.",2008,"2008-09-18","P12","y"
"Arizona State Sun Devils","09/18/08","8:53am","James Morrison","RB","Out","Ankle","Walk-on freshman tailback James Morrison broke his ankle during practice and will be out several months. In his place, Avory Battle was simulating Georgia tailback Knowshon Moreno.",2008,"2008-09-18","P12","y"
"Arizona State Sun Devils","09/17/08","10:35am","Dimitri Nance","RB","Doubtful","Hand","Backup RB Nance fractured a finger in a recent practice and has a cast on his hand.",2008,"2008-09-17","P12","y"
"Arizona State Sun Devils","09/17/08","10:21am","Gerald Munns","LB","Probable","Hand","Starting MLB Gerald Munns did not play week 3 but returns after surgery on his pinkie finger though he's going to sport a cast for about five weeks. Munns physical performance against Stanford earned him conference defensive player of the week honors in week 2.",2008,"2008-09-17","P12","y"
"Arizona State Sun Devils","09/15/08","12:35pm","Brandon Smith","WR","Questionable","Hamstring","Smith is questionable for this weekend vs. Georgia due to a strained hammy.",2008,"2008-09-15","P12","y"
"Arizona State Sun Devils","09/15/08","12:34pm","Garth Gerhart","DB","Questionable","Ankle","Gerhart is questionable for Saturday's game against Georgia.",2008,"2008-09-15","P12","y"
"Arizona State Sun Devils","09/14/08","7:04pm","Brandon Magee","LB","Doubtful","Chest","Magee injured a pectoral muscle while lifting weights last week and underwent an MRI exam. He didn't play in week 3.",2008,"2008-09-14","P12","y"
"Arizona State Sun Devils","09/14/08","7:03pm","Matt Hustad","OL","Questionable","Knee","The backup lineman has not played yet this year. Hustad is expected to return to full participation next week and Coach Erickson said that Hustad could play any position on the line.",2008,"2008-09-14","P12","y"
"Arizona State Sun Devils","09/14/08","7:02pm","Angelo Fobbs-Valentino","DB","Doubtful","Knee","Fobbs-Valentino suffered a knee injury in the season opener and did not play in weeks 2 or 3. Pre-MRI word was that he tore his MCL.",2008,"2008-09-14","P12","y"
"Arizona State Sun Devils","10/02/08","8:20am","Thomas Weber","P","Probable","Hand","2007 Lou Graza Award winner Thomas Weber will likely be able to punt for Arizona State on Saturday in the team's game against Cal despite having a broken scaphoid bone in his left hand.",2008,"2008-10-02","P12","y"
"Arizona State Sun Devils","10/01/08","9:23am","Jonathan Clark","DB","Out","Knee","RS freshman Jonathan Clark is out indefinitely with a knee injury. The reserve has not seen any game action this season.",2008,"2008-10-01","P12","y"
"Arizona State Sun Devils","09/29/08","10:02am","Travis Goethel","LB","Questionable","Neck","Goethel injured his neck in the UNLV game in week 3 and has not played since. He was still wearing a non-contact jersey last week in practice and is questionable to play at Cal.",2008,"2008-09-29","P12","y"
"Arizona State Sun Devils","10/09/08","8:59am","Rudy Carpenter","QB","Doubtful","Ankle","Carpenter has an injury diagnosed as ""a non-weight-bearing projection of a bone in his left ankle."" Coach Erickson says the Devils' starting QB of the past 36 games is ""very doubtful"" to play USC. Carpenter's backup is junior Danny Sullivan, who has never started a game. Sullivan is 1-for-8 this year in mop-up duty and is 26-of-52 for 257 yards in his career with two touchdowns and one interception.",2008,"2008-10-09","P12","y"
"Arizona State Sun Devils","10/08/08","9:21am","Max Tabach","DB","Out For Year","Knee","Tabach is out for the season with a torn ACL in his knee. Junior Jarrell Holman moves up to backup free safety.",2008,"2008-10-08","P12","y"
"Arizona State Sun Devils","10/05/08","10:37pm","Jarrell Woods","RB","Questionable","Ankle","The backup running back missed the week six game with an ankle injury and is questionable for USC.",2008,"2008-10-05","P12","y"
"Arizona State Sun Devils","10/20/08","7:02pm","Clint Floyd","DB","Out","Kidney","Floyd is out due to a lacerated kidney. Rodney Cox started the first four games at strong safety and is expected to return to the first team in Floyd's absence. ",2008,"2008-10-20","P12","y"
"Arizona State Sun Devils","11/07/08","12:03pm","James Brooks","DL","Probable","Foot","The backup missed the Oregon State game due to a foot injury but he has been upgraded to probable for Washington. Paul Unga backed up Luis Vasquez in Brooks' place and David Bertrand moved into the DT rotation in place of Unga.",2008,"2008-11-07","P12","y"
"Arizona State Sun Devils","11/06/08","1:07pm","Kyle Williams","WR","Probable","Concussion/Head","Williams did not play against Oregon State because of a concussion that kept him out of practice last week. He has been upgraded to probable for Washington. Nate Kimbrough replaced Williams on punt returns and Omar Bolden returned kickoffs along with TJ Simpson.",2008,"2008-11-06","P12","y"
"Arizona State Sun Devils","11/04/08","4:54pm","Ryan Bass","RB","Probable","Hamstring","Coach Erickson said Bass has been limited by a hamstring injury but should be part of the RB rotation this week against Wazzu.",2008,"2008-11-04","P12","y"
"Arizona State Sun Devils","11/12/08","10:05am","Zach Schlink","OL","Out For Year","Knee","Freshman guard Zach Schlink underwent microfracture knee surgery Tuesday, ending his season and prompting more change on an already-thin offensive front. Schlink injured his right knee in his first start Saturday against Washington. Coach Dennis Erickson had inserted Schlink at left guard, moving Shawn Lauvao to right tackle. Now Erickson has to find a solution where options are limited.",2008,"2008-11-12","P12","y"
"Arizona State Sun Devils","11/10/08","11:33am","Thomas Altieri","OL","Questionable","Stinger","Altieri was forced to exit the week 11 game with a stinger and is questionable for Wazzu. RS freshman Garth Gerhart would likely start in his place if he cannot play.",2008,"2008-11-10","P12","y"
"Arizona State Sun Devils","11/10/08","11:31am","David Smith","DL","Questionable","Stinger","Smith had to leave the week 11 game due to suffering a stinger. He is questionable for Wazzu.",2008,"2008-11-10","P12","y"
"Arizona State Sun Devils","11/10/08","11:30am","Lawrence Guy","DL","Probable","Shoulder","Guy injured his shoulder in week 11 but is expected to play against Wazzu. He has 32 tackles this season.",2008,"2008-11-10","P12","y"
"Arizona State Sun Devils","12/04/08","8:54am","Shaun DeWitty","RB","Questionable","Back","DeWitty has missed some practice with a back injury and is questionable for this week. He is 3rd on the team with 270 rushing yards.",2008,"2008-12-04","P12","y"
"Arizona State Sun Devils","12/01/08","10:41am","Jonathan English","DL","Out For Year","Knee","English suffered a torn ACL 11/28 vs. UCLA and will miss this week and any bowl game ASU could make with a win.",2008,"2008-12-01","P12","y"
"Arizona State Sun Devils","09/07/08","8:04pm","Nate Kimbrough","WR","Questionable","Ankle","Kimbrough suffered a sprained ankle in week 1and missed the Stanford contest in week 2.",2008,"2008-09-07","P12","y"
"Arizona Wildcats","09/24/08","9:59am","Blake Kerley","OL","Out For Year","Knee","The junior appears lost for the season with a sprained ACL in his left knee. As a RS freshman Kerley took every snap and started 12 games last year as a sophomore. Junior Herman Hall likely takes over the hiking duties.",2008,"2008-09-24","P12","y"
"Arizona Wildcats","10/07/08","3:09pm","Matt Scott","QB","Questionable","Concussion/Head","The backup QB suffered a concussion against Washington in week six. His status for Stanford is uncertain. RS freshman Bryson Beirne finished the mop-up duty against the Huskies and likely moves up to the #2 spot behind starter Willie Tuitama.",2008,"2008-10-07","P12","y"
"Arizona Wildcats","10/07/08","3:08pm","Jowyn Ward","DL","Questionable","Foot","The backup defensive tackle has a sprained foot and is listed as questionable for Stanford.",2008,"2008-10-07","P12","y"
"Arizona Wildcats","10/07/08","3:06pm","Adam Grant","OL","Probable","Hand","The starting right tackle suffered a broken finger against Washington in week six but is expected to play Saturday when Arizona travels to Stanford.",2008,"2008-10-07","P12","y"
"Arizona Wildcats","10/07/08","3:04pm","Devin Ross","DB","Probable","Groin","Ross has been held out of practice thus far this week but is still expected to play Saturday at Stanford.",2008,"2008-10-07","P12","y"
"Arizona Wildcats","10/21/08","2:59pm","Delashaun Dean","WR","Probable","Shoulder","Dean suffered a shoulder injury in week 8 but is expected to start against USC. Dean is 2nd on the team in receptions (30).",2008,"2008-10-21","P12","y"
"Arizona Wildcats","10/21/08","2:57pm","Kaniela Tuipulotu","DL","Probable","Ankle","Tuipulotu should be ready to play against USC after spraining his ankle in week 8.",2008,"2008-10-21","P12","y"
"Arizona Wildcats","10/21/08","2:55pm","Mike Thomas","WR","Probable","Ankle","The 2007 1st Tm Pac 10 receiving stud injured an ankle in week 8 but has been upgraded to probable for the USC game. Thomas has 569 yards and 4 TD's so far this season.",2008,"2008-10-21","P12","y"
"Arizona Wildcats","11/08/08","8:16am","Nate Ness","DB","Probable","Leg","Ness was taken out on a block in week 9 sending him to the ground hard on a somersault. He barely walked off the field after the game, dragging his right leg slowly. He has started every game this year and is 2nd on the team in tackles (50) and has 2 interceptions.",2008,"2008-11-08","P12","y"
"Arizona Wildcats","11/04/08","4:59pm","Adam Grant","OL","Questionable","Hand","Starting offensive tackle Adam Grant may be getting back on the field after missing the last month with a broken pinkie and knuckle injury.",2008,"2008-11-04","P12","y"
"Arizona Wildcats","11/03/08","10:31am","Keola Antoin","RB","Questionable","Shoulder","Antoin suffered a shoulder sprain late in the first half of the week 9 UCLA game. He did not return after gaining 51 yards before halftime. He rushed for 149 yards against California on Oct. 18 and is questionable for Wazzu.",2008,"2008-11-03","P12","y"
"Arizona Wildcats","11/03/08","10:31am","Ricky Elmore","DL","Questionable","Leg","The backup DE has a leg injury and is questionable for Wazzu.",2008,"2008-11-03","P12","y"
"Arizona Wildcats","11/20/08","1:07pm","Sterling Lewis","LB","Probable","Ankle","LB Sterling Lewis was held out of the Wildcats' loss to Oregon because of an ankle injury but has been upgraded to probable to play against the Beavers. Lewis is dealing with an ankle sprain. He has played in 8 games this season (starting 5 of them) and is 3rd on the team in total tackles (58).",2008,"2008-11-20","P12","y"
"Arkansas Razorbacks","09/07/08","6:59pm","Wendel Davis","LB","Questionable","Multiple","Davis has been rehabbing a knee and hand injury and did not play in week 2. Davis is listed as fourth-team on the depth chart right now.",2008,"2008-09-07","SEC","y"
"Arkansas State Red Wolves","09/17/08","10:04am","Jahbari McLennan","WR","Doubtful","Concussion/Head","The team's leading receiver thus far left the game with a possible concussion 9/13 vs. Southern Miss and may miss up to two weeks.",2008,"2008-09-17","SBC","n"
"Arkansas State Red Wolves","11/06/08","9:53am","Corey Leonard","QB","Probable","Wrist","Leonard continues to play through a minor injury on his throwing wrist, but his production has really dropped over the past 4-5 games since suffering it. ",2008,"2008-11-06","SBC","n"
"Arkansas Razorbacks","10/03/08","9:24am","Damario Ambrose","DL","Probable","Knee","Ambrose practiced for the second consecutive day yesterday and should be available in a reserve role Saturday versus Florida.",2008,"2008-10-03","SEC","y"
"Arkansas Razorbacks","10/02/08","8:31am","Ernest Mitchell","DL","Out","Knee","Senior nose tackle Ernest Mitchell underwent arthroscopic knee surgery on his left knee on Wednesday, opening up his position for Zach Stadther. Coach Bobby Petrino said Wednesday he wasn't sure how long Mitchell would be out.",2008,"2008-10-02","SEC","y"
"Arkansas Razorbacks","09/30/08","3:37pm","Lucas Miller","WR","Probable","Concussion/Head","Coach Bobby Petrino said Monday he expects receiver Lucas Miller to be ready for the Florida game. Miller did not play against Alabama because of a concussion suffered on a punt play in week 3.",2008,"2008-09-30","SEC","y"
"Arkansas Razorbacks","09/29/08","10:15am","Ray Dominguez","OL","Questionable","Ankle","Dominguez had to leave the week 5 game with an ankle injury and is questionable for the Florida game.",2008,"2008-09-29","SEC","y"
"Arkansas Razorbacks","10/09/08","9:20am","Ben Tate","RB","Probable","Hamstring","Tate tweaked a hamstring in the fourth quarter last week and sat out Sunday's practice, but said he planned to be ready for the week 7 game.",2008,"2008-10-09","SEC","y"
"Arkansas Razorbacks","10/09/08","9:15am","Michael Aguirre","OL","Doubtful","Leg","The Razorbacks lost tackle Michael Aguirre to a leg injury on the first offensive snap of Saturdays loss to Florida. Grant Freeman got the first significant action of his career replacing Aquirre.",2008,"2008-10-09","SEC","y"
"Arkansas Razorbacks","10/08/08","10:23am","Jerell Norton","DB","Out","Hamstring","Norton will be out for several games with a hamstring injury. He has played in four games this season coming off the bench and has four tackles.",2008,"2008-10-08","SEC","y"
"Arkansas Razorbacks","10/08/08","10:09am","Jamar Love","DB","Out","Hand","Team captain Jamar Love is to undergo surgery on his thumb Wednesday, and coaches aren't sure yet when he'll be able to return. Love ranks second on the team with 31 tackles and leads the Razorbacks with seven pass breakups. Sophomore Ramon Broadway is expected to move up in Love's absence.",2008,"2008-10-08","SEC","y"
"Arkansas Razorbacks","10/08/08","9:57am","DeMarcus Love","OL","Doubtful","Ankle","Love suffered an ankle injury during practice last week and had to sit out the Florida game. RS freshman Grant Cook started in his place. Love is expected to sit out the Auburn contest.",2008,"2008-10-08","SEC","y"
"Arkansas Razorbacks","10/24/08","8:06am","Michael Smith","RB","Probable","Concussion/Head","Smith suffered a concussion in week 8 but has been upgraded to probable. Smith has 791 rushing yards and 5 TD's in 6 games this season. Even if Smith is available this weekend Coach Petrino said freshman backs DeAnthony Curtis and Dennis Johnson must be asked to do more.",2008,"2008-10-24","SEC","y"
"Arkansas Razorbacks","11/09/08","2:12pm","Grant Cook","OL","Questionable","Knee","The offenisve guard has missed the past two games with a sprained knee. He had been starting for DeMarcus Love who returned to his starting role.",2008,"2008-11-09","SEC","y"
"Arkansas Razorbacks","11/09/08","2:10pm","Adrian Davis","DL","Questionable","Ankle","Davis injured his ankle in the week 9 Ole Miss game and has missed the past two games. Davis ranked 4th on the team in tackles and led the team with 4 QB sacks before sitting out. Damario Ambrose and Jake Bequette have each started a game in his place.",2008,"2008-11-09","SEC","y"
"Arkansas Razorbacks","10/29/08","8:47am","Elton Ford","DB","Out For Year","Neck","Ford has been lost for the season with a neck injury, coach Bobby Petrino said Monday. Junior Rashaad Johnson is listed 2nd on the depth chart and is the likely recipient of the starting job.",2008,"2008-10-29","SEC","y"
"Arkansas Razorbacks","11/21/08","11:09am","Casey Dick","QB","Probable","Concussion/Head","Dick was knocked out of the Razorbacks' last game with a concussion but has been upgraded to probable for Mississippi State.",2008,"2008-11-21","SEC","y"
"Arkansas Razorbacks","11/20/08","12:05pm","Jerico Nelson","DB","Questionable","Knee","Safety Jerico Nelson missed the South Carolina game with a knee injury but was jogging on the sideline at Wednesday's practice. His status for Saturday is unknown. His last start was against Tulsa where he started at one of the CB spots.",2008,"2008-11-20","SEC","y"
"Arkansas Razorbacks","11/18/08","3:58pm","Michael Smith","RB","Probable","Neck","Michael Smith returned to practice Sunday night improving his chances of being ready for Saturdays game at Miss St. Smith missed the second half of the S. Carolina game because of a shoulder stinger but took part in the Razorbacks 80-minute workout. Smith missed all last weeks practices because of the injury. Coach Petrino said Smith will wear a neck roll to help him prevent further injury. The Razorbacks are hoping Smith can help the run game get back on track after two disappointing weeks.",2008,"2008-11-18","SEC","y"
"Arkansas Razorbacks","11/26/08","2:35pm","Wendel Davis","LB","Doubtful","Leg","Davis left the week 13 game with a leg injury and has been downgraded to doubtful to play vs. LSU on Friday.",2008,"2008-11-26","SEC","y"
"Arkansas Razorbacks","11/24/08","4:31pm","Michael Smith","RB","Doubtful","Hamstring","Smith and his bum hamstring are listed as doubtful for this Friday's matchup with LSU. The SEC's all-purpose yardage leader will sorely be missed if he cannot play. After Smith left the week 13 game freshman Dennis Johnson ran three times for 13 yards, junior Brandon Barnett did not have a carry, and freshman DeAnthony Curtis was stuffed at the 1-yard line during Arkansas desperation touchdown drive late in the game. Not counting a reverse to a wide receiver and a couple of QB scrambles, the Hogs could merely muster 12 total yards on 16 rushing plays post Smith's injury.",2008,"2008-11-24","SEC","y"
"Army Black Knights","09/08/08","5:13am","Carson Williams","QB","Questionable","Hand","Williams was injured early in the second quarter of Army's 9/6 loss to New Hampshire and did not return. He injured his left (non-throwing) hand when it was apparently stepped on. Williams was 7-for-7 for 95 yards and a TD before the injury. Army did not complete a pass in four attempts after Williams came out.",2008,"2008-09-08","IND","n"
"Army Black Knights","09/26/08","8:32am","Chip Bowden","QB","Probable","Ankle","Bowden has been upgraded to probable. He was injured 9/20 vs Akron and had to leave the game. Army was rotating him in at QB with Carson Williams before he was injured and look to do the same this week. Bowden had 65 yards on 21 carries before leaving in the 3rd quarter.",2008,"2008-09-26","IND","n"
"Army Black Knights","10/01/08","6:47am","Mike Gann","DL","Out","Knee","Gann has been downgraded to out. He missed 9/27 @ Texas A&M due to a knee injury. Victor Ugenyi filled in for him.",2008,"2008-10-01","IND","n"
