Opponent,Home,Type,Opp_Score,WSU_Score,Diff_Score,Poss,Drive_Number,Spot,Down,Distance,Yards,Carrier,Passer,Completion,TD,FirstDown,INT
Rutgers,1,Pass,7,0,-7,"Washington State",6,7,3,7,4,"River Cracraft","Connor Halliday",1,0,0,0
Rutgers,1,"Field Goal",7,3,-4,"Washington State",6,3,4,3,0,,,,0,0,
Rutgers,1,Kickoff,7,3,-4,Rutgers,7,,,,65,,,,0,0,
Rutgers,1,Run,7,3,-4,Rutgers,7,25,1,10,9,"John Tsimis",,,0,0,
Rutgers,1,Run,7,3,-4,Rutgers,7,34,2,1,10,"Desmon Peoples",,,0,1,
Rutgers,1,Run,7,3,-4,Rutgers,7,44,1,10,-2,"Desmon Peoples",,,0,0,
Rutgers,1,Pass,7,3,-4,Rutgers,7,42,2,12,11,"Janarion Grant","Gary Nova",1,0,0,0
Rutgers,1,Run,7,3,-4,Rutgers,7,53,3,1,0,"Paul James",,,0,0,
Rutgers,1,Pass,7,3,-4,Rutgers,7,53,4,1,6,"Matt Flanagan","Gary Nova",1,0,1,0
Rutgers,1,Run,7,3,-4,Rutgers,7,59,1,10,7,"Desmon Peoples",,,0,0,
Rutgers,1,Run,7,3,-4,Rutgers,7,66,2,3,6,"Desmon Peoples",,,0,1,
Rutgers,1,Run,7,3,-4,Rutgers,7,72,1,10,9,"Paul James",,,0,0,
Rutgers,1,Run,7,3,-4,Rutgers,7,81,2,1,4,"Paul James",,,0,1,
Rutgers,1,Run,7,3,-4,Rutgers,7,85,1,10,14,"Paul James",,,0,1,
Rutgers,1,Run,14,3,-11,Rutgers,7,99,1,1,1,"Paul James",,,1,0,
Rutgers,1,Kickoff,14,3,-11,"Washington State",8,,,,26,,,,0,0,
Rutgers,1,Run,14,3,-11,"Washington State",8,74,1,10,13,"Jamal Morrow",,,0,1,
Rutgers,1,Pass,14,3,-11,"Washington State",8,61,1,10,0,"Vince Mayle","Connor Halliday",0,0,0,0
Rutgers,1,Pass,14,3,-11,"Washington State",8,61,2,10,3,"Jamal Morrow","Connor Halliday",1,0,0,0
Rutgers,1,Pass,14,3,-11,"Washington State",8,58,3,7,0,"Kristoff Williams","Connor Halliday",0,0,0,0
Rutgers,1,Punt,14,3,-11,"Washington State",8,58,4,7,28,,,,0,0,
Rutgers,1,Run,14,3,-11,Rutgers,9,30,1,10,2,"Desmon Peoples",,,0,0,
Rutgers,1,Run,14,3,-11,Rutgers,9,32,2,8,7,"Janarion Grant",,,0,0,
Rutgers,1,Run,14,3,-11,Rutgers,9,39,3,1,0,"Paul James",,,0,0,
Rutgers,1,Punt,14,3,-11,Rutgers,9,34,4,6,1,,,,0,0,
Rutgers,1,Run,14,3,-11,"Washington State",10,80,1,10,7,"Gerard Wicks",,,0,0,
Rutgers,1,Pass,14,3,-11,"Washington State",10,73,2,3,64,"Dom Williams","Connor Halliday",1,0,1,0
Rutgers,1,Run,14,3,-11,"Washington State",10,4,1,4,0,"Gerard Wicks",,,0,0,
Rutgers,1,Pass,14,3,-11,"Washington State",10,4,2,4,0,"Vince Mayle","Connor Halliday",0,0,0,0
Rutgers,1,Pass,14,10,-4,"Washington State",10,4,3,4,4,"Isiah Myers","Connor Halliday",1,1,0,0
Rutgers,1,Kickoff,14,10,-4,Rutgers,11,,,,20,,,,0,0,
Rutgers,1,Pass,14,10,-4,Rutgers,11,27,1,10,6,"Leonte Carroo","Gary Nova",1,0,0,0
Rutgers,1,Run,14,10,-4,Rutgers,11,33,2,4,5,"Paul James",,,0,1,
Rutgers,1,Pass,14,10,-4,Rutgers,11,38,1,10,6,"John Tsimis","Gary Nova",1,0,0,0
Rutgers,1,Run,21,10,-11,Rutgers,11,44,2,4,56,"Paul James",,,1,0,
Rutgers,1,Kickoff,21,10,-11,"Washington State",12,,,,26,,,,0,0,
Rutgers,1,Run,21,10,-11,"Washington State",12,72,1,10,4,"Connor Halliday",,,0,0,
Rutgers,1,Pass,21,10,-11,"Washington State",12,68,2,6,12,"Vince Mayle","Connor Halliday",1,0,1,0
Rutgers,1,Run,21,10,-11,"Washington State",12,56,1,10,-2,"Theron West",,,0,0,
Rutgers,1,Pass,21,10,-11,"Washington State",12,58,2,12,13,"Isiah Myers","Connor Halliday",1,0,1,0
Rutgers,1,Pass,21,10,-11,"Washington State",12,55,1,20,11,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,21,10,-11,"Washington State",12,44,2,9,18,"Rickey Galvin","Connor Halliday",1,0,1,0
Rutgers,1,Pass,21,10,-11,"Washington State",12,26,1,10,0,,"Connor Halliday",0,0,0,0
Rutgers,1,Pass,21,17,-4,"Washington State",12,26,2,10,26,"Vince Mayle","Connor Halliday",1,1,0,0
Rutgers,1,Kickoff,21,17,-4,Rutgers,13,,,,30,,,,0,0,
Rutgers,1,Pass,21,17,-4,Rutgers,13,47,1,10,0,"Leonte Carroo","Gary Nova",0,0,0,0
Rutgers,1,Run,21,17,-4,Rutgers,13,47,2,10,4,"Desmon Peoples",,,0,0,
Rutgers,1,Sacked,21,17,-4,Rutgers,13,51,3,6,-7,,,,0,0,
Rutgers,1,Punt,21,17,-4,Rutgers,13,44,4,13,3,,,,0,0,
Rutgers,1,Pass,21,17,-4,"Washington State",14,90,1,10,29,"Kristoff Williams","Connor Halliday",1,0,1,0
Rutgers,1,Run,21,17,-4,"Washington State",14,61,1,10,1,"Connor Halliday",,,0,0,
Rutgers,1,Pass,21,17,-4,"Washington State",14,60,2,9,12,"Jamal Morrow","Connor Halliday",1,0,1,0
Rutgers,1,"Field Goal",21,17,-4,"Washington State",14,33,1,10,0,,,,0,0,
Rutgers,1,Kickoff,21,17,-4,"Washington State",15,,,,65,,,,0,0,
Rutgers,1,Pass,21,17,-4,"Washington State",15,75,1,10,5,"Gerard Wicks","Connor Halliday",1,0,0,0
Rutgers,1,Pass,21,17,-4,"Washington State",15,70,2,5,20,"River Cracraft","Connor Halliday",1,0,1,0
Rutgers,1,Pass,21,17,-4,"Washington State",15,55,1,15,0,"Gerard Wicks","Connor Halliday",0,0,0,0
Rutgers,1,Pass,21,17,-4,"Washington State",15,55,2,15,13,"Gerard Wicks","Connor Halliday",1,0,0,0
Rutgers,1,Pass,21,17,-4,"Washington State",15,42,3,2,11,"River Cracraft","Connor Halliday",1,0,1,0
Rutgers,1,Pass,21,17,-4,"Washington State",15,31,1,10,24,"Vince Mayle","Connor Halliday",1,0,1,0
Rutgers,1,Pass,21,24,3,"Washington State",15,7,1,7,7,"River Cracraft","Connor Halliday",1,1,0,0
Rutgers,1,Kickoff,21,24,3,Rutgers,16,,,,20,,,,0,0,
Rutgers,1,Run,21,24,3,Rutgers,16,27,1,10,2,"Paul James",,,0,0,
Rutgers,1,Pass,21,24,3,Rutgers,16,29,2,8,0,"Paul James","Gary Nova",0,0,0,0
Rutgers,1,Pass,21,24,3,Rutgers,16,29,3,8,30,"Janarion Grant","Gary Nova",1,0,1,0
Rutgers,1,Pass,21,24,3,Rutgers,16,59,1,10,6,"Leonte Carroo","Gary Nova",1,0,0,0
Rutgers,1,Run,21,24,3,Rutgers,16,65,2,4,2,"Paul James",,,0,0,
Rutgers,1,Run,21,24,3,Rutgers,16,67,3,2,6,"Paul James",,,0,1,
Rutgers,1,Run,21,24,3,Rutgers,16,73,1,10,5,"Paul James",,,0,0,
Rutgers,1,Run,21,24,3,Rutgers,16,78,2,5,3,"Paul James",,,0,0,
Rutgers,1,Pass,21,24,3,Rutgers,16,81,3,2,0,"Leonte Carroo","Gary Nova",0,0,0,0
Rutgers,1,"Field Goal",24,24,0,Rutgers,16,81,4,2,0,,,,0,0,
Rutgers,1,Kickoff,24,24,0,"Washington State",17,,,,22,,,,0,0,
Rutgers,1,Pass,24,24,0,"Washington State",17,63,1,10,7,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,24,24,0,"Washington State",17,56,2,3,5,"Vince Mayle","Connor Halliday",1,0,1,0
Rutgers,1,Pass,24,24,0,"Washington State",17,51,1,10,4,"Calvin Green","Connor Halliday",1,0,0,0
Rutgers,1,Pass,24,24,0,"Washington State",17,47,2,6,23,"River Cracraft","Connor Halliday",1,0,1,0
Rutgers,1,Pass,24,24,0,"Washington State",17,24,1,10,4,"River Cracraft","Connor Halliday",1,0,0,0
Rutgers,1,Pass,24,24,0,"Washington State",17,20,2,6,13,"Vince Mayle","Connor Halliday",1,0,1,0
Rutgers,1,Pass,24,24,0,"Washington State",17,7,1,7,0,"Dom Williams","Connor Halliday",0,0,0,0
Rutgers,1,Sacked,24,24,0,"Washington State",17,7,2,7,-7,,,,0,0,
Rutgers,1,Pass,24,31,7,"Washington State",17,14,3,14,14,"Isiah Myers","Connor Halliday",1,1,0,0
Rutgers,1,Kickoff,24,31,7,Rutgers,18,,,,25,,,,0,0,
Rutgers,1,Pass,24,31,7,Rutgers,18,25,1,10,0,"Janarion Grant","Gary Nova",0,0,0,0
Rutgers,1,Run,24,31,7,Rutgers,18,25,2,10,7,"Paul James",,,0,0,
Rutgers,1,Pass,24,31,7,Rutgers,18,32,3,3,4,"Janarion Grant","Gary Nova",1,0,1,0
Rutgers,1,Pass,24,31,7,Rutgers,18,36,1,10,34,"Michael Burton","Gary Nova",1,0,1,0
Rutgers,1,Run,24,31,7,Rutgers,18,70,1,10,0,"Paul James",,,0,0,
Rutgers,1,Pass,24,31,7,Rutgers,18,70,2,10,20,"Leonte Carroo","Gary Nova",1,0,1,0
Rutgers,1,Run,24,31,7,Rutgers,18,90,1,10,5,"Paul James",,,0,0,
Rutgers,1,Run,24,31,7,Rutgers,18,95,2,5,-2,"Paul James",,,0,0,
Rutgers,1,Pass,24,31,7,Rutgers,18,93,3,7,0,"Janarion Grant","Gary Nova",0,0,0,0
Rutgers,1,"Field Goal",27,31,4,Rutgers,18,93,4,7,0,,,,0,0,
Rutgers,1,Kickoff,27,31,4,"Washington State",19,,,,20,,,,0,0,
Rutgers,1,Run,27,31,4,"Washington State",19,80,1,10,-4,"Jamal Morrow",,,0,0,
Rutgers,1,Pass,27,31,4,"Washington State",19,84,2,14,11,"Rickey Galvin","Connor Halliday",1,0,0,0
Rutgers,1,Pass,27,31,4,"Washington State",19,73,3,3,0,"Vince Mayle","Connor Halliday",0,0,0,0
Rutgers,1,Punt,27,31,4,"Washington State",19,73,4,3,7,,,,0,0,
Rutgers,1,Pass,27,31,4,Rutgers,20,27,1,10,30,"Leonte Carroo","Gary Nova",1,0,1,0
Rutgers,1,Run,27,31,4,Rutgers,20,57,1,10,6,"Desmon Peoples",,,0,0,
Rutgers,1,Pass,27,31,4,Rutgers,20,63,2,4,2,"Michael Burton","Gary Nova",1,0,0,0
Rutgers,1,Run,27,31,4,Rutgers,20,65,3,2,3,"Desmon Peoples",,,0,1,
Rutgers,1,Pass,27,31,4,Rutgers,20,68,1,10,3,"Janarion Grant","Gary Nova",1,0,0,0
Rutgers,1,Pass,34,31,-3,Rutgers,20,71,2,7,29,"John Tsimis","Gary Nova",1,1,0,0
Rutgers,1,Kickoff,34,31,-3,"Washington State",21,,,,23,,,,0,0,
Rutgers,1,Pass,34,31,-3,"Washington State",21,67,1,10,6,"Theron West","Connor Halliday",1,0,0,0
Rutgers,1,Run,34,31,-3,"Washington State",21,61,1,10,4,"Jamal Morrow",,,0,0,
Rutgers,1,Pass,34,31,-3,"Washington State",21,52,2,1,43,"Isiah Myers","Connor Halliday",1,0,1,0
Rutgers,1,Pass,34,31,-3,"Washington State",21,9,1,9,0,"Vince Mayle","Connor Halliday",0,0,0,0
Rutgers,1,Run,34,31,-3,"Washington State",21,9,2,9,4,"Jamal Morrow",,,0,0,
Rutgers,1,Pass,34,38,4,"Washington State",21,5,3,5,5,"Rickey Galvin","Connor Halliday",1,1,0,0
Rutgers,1,Kickoff,34,38,4,Rutgers,22,,,,16,,,,0,0,
Rutgers,1,Run,34,38,4,Rutgers,22,8,1,10,8,"Paul James",,,0,0,
Rutgers,1,Pass,34,38,4,Rutgers,22,16,2,2,0,"Leonte Carroo","Gary Nova",0,0,0,0
Rutgers,1,Pass,34,38,4,Rutgers,22,16,3,2,0,"Janarion Grant","Gary Nova",0,0,0,0
Rutgers,1,Punt,34,38,4,Rutgers,22,16,4,2,35,,,,0,0,
Rutgers,1,Run,34,38,4,Rutgers,23,50,1,10,5,"Paul James",,,0,0,
Rutgers,1,Run,34,38,4,Rutgers,23,55,2,5,3,"Paul James",,,0,0,
Rutgers,1,Run,34,38,4,Rutgers,23,58,3,2,5,"Paul James",,,0,1,
Rutgers,1,Run,34,38,4,Rutgers,23,63,1,10,7,"Paul James",,,0,0,
Rutgers,1,Pass,34,38,4,Rutgers,23,70,2,3,5,"John Tsimis","Gary Nova",1,0,1,0
Rutgers,1,Pass,34,38,4,Rutgers,23,75,1,10,11,"Leonte Carroo","Gary Nova",1,0,1,0
Rutgers,1,Run,34,38,4,Rutgers,23,93,1,7,4,"Paul James",,,0,0,
Rutgers,1,Run,41,38,-3,Rutgers,23,97,2,3,3,"Paul James",,,1,0,
Rutgers,1,Kickoff,41,38,-3,"Washington State",24,,,,19,,,,0,0,
Rutgers,1,Pass,41,38,-3,"Washington State",24,76,1,10,0,"Dom Williams","Connor Halliday",0,0,0,0
Rutgers,1,Pass,41,38,-3,"Washington State",24,76,2,10,7,"Kristoff Williams","Connor Halliday",1,0,0,0
Rutgers,1,Pass,41,38,-3,"Washington State",24,74,3,8,15,"Isiah Myers","Connor Halliday",1,0,1,0
Rutgers,1,Sacked,41,38,-3,"Washington State",24,59,1,10,-9,,,,0,0,
Rutgers,1,Pass,41,38,-3,"Washington State",24,68,2,19,6,"Vince Mayle","Connor Halliday",1,0,0,0
Rutgers,1,Pass,41,38,-3,"Washington State",24,62,3,13,0,"Rickey Galvin","Connor Halliday",0,0,0,0
Rutgers,1,Pass,41,38,-3,"Washington State",24,62,4,13,0,"River Cracraft","Connor Halliday",0,0,0,0
Rutgers,1,Run,41,38,-3,Rutgers,25,62,1,10,-1,TEAM,,,0,0,
Rutgers,1,Run,41,38,-3,Rutgers,25,61,2,11,-1,TEAM,,,0,0,
Rutgers,1,Run,41,38,-3,Rutgers,25,60,3,12,-1,TEAM,,,0,0,
Nevada,0,Kickoff,0,0,0,Nevada,26,,,,17,,,,0,0,
Nevada,0,Pass,0,0,0,Nevada,26,17,1,10,9,"Hasaan Henderson","Cody Fajardo",1,0,0,0
Nevada,0,Run,0,0,0,Nevada,26,26,2,1,0,"Cody Fajardo",,,0,1,
Nevada,0,Pass,0,0,0,Nevada,26,36,1,15,2,"Kendall Brock","Cody Fajardo",1,0,0,0
Nevada,0,Pass,0,0,0,Nevada,26,38,2,13,0,"Hasaan Henderson","Cody Fajardo",0,0,0,0
Nevada,0,Pass,0,0,0,Nevada,26,38,3,13,0,,"Cody Fajardo",0,0,0,0
Nevada,0,Punt,0,0,0,Nevada,26,38,4,13,14,,,,0,0,
Nevada,0,Pass,0,0,0,"Washington State",27,73,1,10,13,"Robert Lewis","Connor Halliday",1,0,1,0
Nevada,0,Pass,0,0,0,"Washington State",27,60,1,10,0,"Robert Lewis","Connor Halliday",0,0,0,0
Nevada,0,Run,0,0,0,"Washington State",27,60,2,10,4,"Connor Halliday",,,0,1,
Nevada,0,Run,0,0,0,"Washington State",27,41,1,10,0,"Jamal Morrow",,,0,0,
Nevada,0,Pass,0,0,0,"Washington State",27,41,2,10,0,"Rickey Galvin","Connor Halliday",0,0,0,0
Nevada,0,Pass,0,0,0,"Washington State",27,41,3,10,12,"Robert Lewis","Connor Halliday",1,0,1,0
Nevada,0,Sacked,0,0,0,"Washington State",27,29,1,10,-15,,,,0,0,
Nevada,0,Pass,0,0,0,"Washington State",27,44,2,25,9,"Isiah Myers","Connor Halliday",1,0,0,0
Nevada,0,Sacked,0,0,0,"Washington State",27,35,3,16,-5,,,,0,0,
Nevada,0,Punt,0,0,0,"Washington State",27,40,4,21,26,,,,0,0,
Nevada,0,Run,0,0,0,Nevada,28,14,1,10,0,"Don Jackson",,,0,0,
Nevada,0,Run,0,0,0,Nevada,28,14,2,10,2,"Don Jackson",,,0,0,
Nevada,0,Pass,0,0,0,Nevada,28,16,3,8,0,"Hasaan Henderson","Cody Fajardo",0,0,0,0
Nevada,0,Punt,0,0,0,Nevada,28,16,4,8,42,,,,0,0,
Nevada,0,Pass,0,0,0,"Washington State",29,58,1,10,3,"Calvin Green","Connor Halliday",1,0,1,0
Nevada,0,Pass,0,0,0,"Washington State",29,40,1,10,-3,"Jamal Morrow","Connor Halliday",1,0,0,0
Nevada,0,Run,0,0,0,"Washington State",29,43,2,13,9,"Jamal Morrow",,,0,0,
Nevada,0,Pass,0,0,0,"Washington State",29,34,3,4,0,"Dom Williams","Connor Halliday",0,0,0,0
Nevada,0,Pass,0,0,0,"Washington State",29,34,4,4,0,"Robert Lewis","Connor Halliday",0,0,0,0
Nevada,0,Run,0,0,0,Nevada,30,34,1,10,-4,"Cody Fajardo",,,0,0,
Nevada,0,Run,0,0,0,Nevada,30,30,2,14,4,"Don Jackson",,,0,0,
Nevada,0,Pass,0,0,0,Nevada,30,34,3,10,8,"Richy Turner","Cody Fajardo",1,0,0,0
Nevada,0,Pass,0,0,0,"Washington State",31,53,1,10,0,"Isiah Myers","Connor Halliday",0,0,0,0
Nevada,0,Pass,0,0,0,"Washington State",31,53,2,10,3,"Vince Mayle","Connor Halliday",1,0,0,0
Nevada,0,Pass,0,0,0,"Washington State",31,50,3,7,45,,"Connor Halliday",0,0,0,1
Nevada,0,Run,0,0,0,Nevada,32,88,1,10,1,"Don Jackson",,,0,0,
Nevada,0,Run,0,0,0,Nevada,32,89,2,9,8,"Don Jackson",,,0,0,
Nevada,0,Run,0,0,0,Nevada,32,97,3,1,2,"Don Jackson",,,0,1,
Nevada,0,Run,7,0,-7,Nevada,32,99,1,1,1,"Don Jackson",,,1,0,
Nevada,0,Kickoff,7,0,-7,"Washington State",33,,,,20,,,,0,0,
Nevada,0,Pass,7,0,-7,"Washington State",33,74,1,10,8,"Vince Mayle","Connor Halliday",1,0,0,0
Nevada,0,Run,7,0,-7,"Washington State",33,66,2,2,-4,"Gerard Wicks",,,0,0,
Nevada,0,Pass,7,0,-7,"Washington State",33,70,3,6,0,"Rickey Galvin","Connor Halliday",0,0,0,0
Nevada,0,Punt,7,0,-7,"Washington State",33,70,4,6,51,,,,0,0,
Nevada,0,Run,7,0,-7,Nevada,34,9,1,10,11,"James Butler",,,0,1,
Nevada,0,Run,7,0,-7,Nevada,34,20,1,10,6,"James Butler",,,0,0,
Nevada,0,Run,7,0,-7,Nevada,34,26,2,4,5,"Cody Fajardo",,,0,1,
Nevada,0,Run,7,0,-7,Nevada,34,31,1,10,2,"James Butler",,,0,0,
Nevada,0,Pass,7,0,-7,Nevada,34,33,2,8,4,"Richy Turner","Cody Fajardo",1,0,0,0
Nevada,0,Run,7,0,-7,Nevada,34,37,3,4,55,"Cody Fajardo",,,0,1,
Nevada,0,Pass,7,0,-7,Nevada,34,92,1,8,5,"James Butler","Cody Fajardo",1,0,0,0
Nevada,0,Pass,7,0,-7,Nevada,34,97,2,3,0,"Matt Moen","Cody Fajardo",0,0,0,0
Nevada,0,Run,7,0,-7,Nevada,34,99,1,1,0,"James Butler",,,0,0,
Nevada,0,Run,14,0,-14,Nevada,34,99,2,1,1,"James Butler",,,1,0,
Nevada,0,Kickoff,14,0,-14,"Washington State",35,,,,65,,,,0,0,
Nevada,0,Pass,14,0,-14,"Washington State",35,75,1,10,17,"Dom Williams","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,0,-14,"Washington State",35,53,1,5,1,,"Connor Halliday",0,0,0,1
Nevada,0,Run,14,0,-14,Nevada,36,40,1,10,7,"James Butler",,,0,0,
Nevada,0,Pass,14,0,-14,Nevada,36,47,2,3,7,"Hasaan Henderson","Cody Fajardo",1,0,1,0
Nevada,0,Pass,14,0,-14,Nevada,36,54,1,10,0,,"Cody Fajardo",0,0,0,0
Nevada,0,Run,14,0,-14,Nevada,36,54,2,10,3,"Cody Fajardo",,,0,0,
Nevada,0,Pass,14,0,-14,Nevada,36,57,3,7,0,"Jerico Richardson","Cody Fajardo",0,0,0,0
Nevada,0,Punt,14,0,-14,Nevada,36,57,4,7,43,,,,0,0,
Nevada,0,Pass,14,0,-14,"Washington State",37,75,1,5,11,"Robert Lewis","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,0,-14,"Washington State",37,64,1,10,14,"Isiah Myers","Connor Halliday",1,0,1,0
Nevada,0,Run,14,0,-14,"Washington State",37,50,1,10,19,"Theron West",,,0,1,
Nevada,0,Pass,14,0,-14,"Washington State",37,31,1,10,18,"Dom Williams","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,7,-7,"Washington State",37,13,1,10,13,"Vince Mayle","Connor Halliday",1,1,0,0
Nevada,0,Kickoff,14,7,-7,Nevada,38,,,,18,,,,0,0,
Nevada,0,Run,14,7,-7,Nevada,38,20,1,10,5,"Don Jackson",,,0,0,
Nevada,0,Run,14,7,-7,Nevada,38,25,2,5,1,"Cody Fajardo",,,0,0,
Nevada,0,Pass,14,7,-7,Nevada,38,26,3,4,0,"Jarred Gipson","Cody Fajardo",0,0,0,0
Nevada,0,Punt,14,7,-7,Nevada,38,26,4,4,7,,,,0,0,
Nevada,0,Pass,14,7,-7,"Washington State",39,70,1,10,15,"Isiah Myers","Connor Halliday",1,0,1,0
Nevada,0,Run,14,7,-7,"Washington State",39,55,1,10,-1,"Jamal Morrow",,,0,0,
Nevada,0,Pass,14,7,-7,"Washington State",39,56,2,11,9,"Isiah Myers","Connor Halliday",1,0,0,0
Nevada,0,Pass,14,7,-7,"Washington State",39,47,3,2,2,"Vince Mayle","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,7,-7,"Washington State",39,45,1,10,12,"Isiah Myers","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,7,-7,"Washington State",39,33,1,10,0,"Robert Lewis","Connor Halliday",0,0,0,0
Nevada,0,Pass,14,7,-7,"Washington State",39,33,2,10,0,"Dom Williams","Connor Halliday",0,0,0,0
Nevada,0,Pass,14,7,-7,"Washington State",39,33,3,10,17,"Vince Mayle","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,7,-7,"Washington State",39,16,1,10,10,"Isiah Myers","Connor Halliday",1,0,1,0
Nevada,0,Run,14,7,-7,"Washington State",39,6,1,6,3,"Gerard Wicks",,,0,0,
Nevada,0,Pass,14,7,-7,"Washington State",39,8,2,8,0,"Dom Williams","Connor Halliday",0,0,0,0
Nevada,0,Pass,14,7,-7,"Washington State",39,8,3,8,0,"Dom Williams","Connor Halliday",0,0,0,0
Nevada,0,"Field Goal",14,10,-4,"Washington State",39,8,4,8,0,,,,0,0,
Nevada,0,Kickoff,14,10,-4,Nevada,40,,,,23,,,,0,0,
Nevada,0,Run,14,10,-4,Nevada,40,23,1,10,9,"Cody Fajardo",,,0,0,
Nevada,0,Run,14,10,-4,Nevada,40,32,2,1,2,"Don Jackson",,,0,1,
Nevada,0,Run,14,10,-4,Nevada,40,34,1,10,-2,"Cody Fajardo",,,0,0,
Nevada,0,Run,14,10,-4,Nevada,40,32,2,12,-1,TEAM,,,0,0,
Nevada,0,Run,14,10,-4,Nevada,40,31,3,13,-1,TEAM,,,0,0,
Nevada,0,Kickoff,14,10,-4,"Washington State",41,,,,25,,,,0,0,
Nevada,0,Pass,14,10,-4,"Washington State",41,69,1,10,10,"Rickey Galvin","Connor Halliday",1,0,1,0
Nevada,0,Sacked,14,10,-4,"Washington State",41,64,1,15,-4,,,,0,0,
Nevada,0,Run,14,10,-4,"Washington State",41,68,2,19,17,"Jamal Morrow",,,0,0,
Nevada,0,Pass,14,10,-4,"Washington State",41,51,3,2,32,"Dom Williams","Connor Halliday",1,0,1,0
Nevada,0,Pass,14,10,-4,"Washington State",41,29,1,20,0,"Vince Mayle","Connor Halliday",0,0,0,0
Nevada,0,Pass,14,10,-4,"Washington State",41,29,2,20,9,"Dom Williams","Connor Halliday",1,0,0,0
Nevada,0,Pass,14,10,-4,"Washington State",41,20,3,11,0,,"Connor Halliday",0,0,0,0
Nevada,0,"Field Goal",14,10,-4,"Washington State",41,20,4,11,0,,,,0,0,
Nevada,0,Run,14,10,-4,Nevada,42,20,1,10,0,"Don Jackson",,,0,0,
